state_name,year,quarter_file,payment_type,total_transactions,total_amount
jharkhand,2018,4.json,TOTAL,6284043,10241916641.36
jharkhand,2019,1.json,TOTAL,9387708,13627236448.960001
jharkhand,2019,2.json,TOTAL,10128211,18622701305.66
jharkhand,2019,3.json,TOTAL,14220647,21465973993.44
jharkhand,2019,4.json,TOTAL,18248618,28147748376.89
jharkhand,2020,1.json,TOTAL,18282713,33611232153.26
jharkhand,2020,2.json,TOTAL,20141511,37486201976.28
jharkhand,2020,3.json,TOTAL,27068473,50622615819.840004
jharkhand,2020,4.json,TOTAL,39431633,72805174830.36
jharkhand,2021,1.json,TOTAL,44621663,83749353123.03
jharkhand,2021,2.json,TOTAL,54002145,104432643310.22
jharkhand,2021,3.json,TOTAL,70795702,121891015119.15
jharkhand,2021,4.json,TOTAL,96009042,166017443896.01
jharkhand,2022,1.json,TOTAL,110911210,194699870430.78
jharkhand,2022,2.json,TOTAL,132925275,225636328630.62
jharkhand,2022,3.json,TOTAL,146815332,229412417781.53
jharkhand,2022,4.json,TOTAL,175300092,277972087051.57
jharkhand,2023,1.json,TOTAL,240458103,367371790947
jharkhand,2023,2.json,TOTAL,289233893,422215048610
jharkhand,2023,3.json,TOTAL,318237426,418384322759
jharkhand,2023,4.json,TOTAL,374538362,498719802309
jharkhand,2024,1.json,TOTAL,426759095,559720189408
jharkhand,2024,2.json,TOTAL,499685871,620115749218
jharkhand,2024,3.json,TOTAL,522575883,609910026927
jharkhand,2024,4.json,TOTAL,586904686,704011145389
karnataka,2018,1.json,TOTAL,12016899,19217895313.91
karnataka,2018,2.json,TOTAL,17116447,33515580081.010002
karnataka,2018,3.json,TOTAL,25980261,48225091755.700005
karnataka,2018,4.json,TOTAL,44812071,73008386576.09
karnataka,2019,1.json,TOTAL,86587609,117975945385.95
karnataka,2019,2.json,TOTAL,115401604,163702317972.53
karnataka,2019,3.json,TOTAL,170733735,214536395355.79
karnataka,2019,4.json,TOTAL,237796252,295047279094.58
karnataka,2020,1.json,TOTAL,271033890,353401753443.5
karnataka,2020,2.json,TOTAL,213221712,321104669549.3
karnataka,2020,3.json,TOTAL,300360531,470740140868.7
karnataka,2020,4.json,TOTAL,431536984,658036740793.3
karnataka,2021,1.json,TOTAL,523797492,754995663951
karnataka,2021,2.json,TOTAL,530649046,837886985110.5
karnataka,2021,3.json,TOTAL,753296539,1133234687898.7998
karnataka,2021,4.json,TOTAL,931725438,1375470199997.3
karnataka,2022,1.json,TOTAL,1057855407,1566650508157.5
